Country name,Regional indicator,score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Panama,Latin America and Caribbean,6.180,10.350,0.896,69.652,0.872,-0.166,0.856,2.430,1.298,0.976,0.667,0.596,0.079,0.053
Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.970,0.311,0.515,2.430,0.769,1.027,0.528,0.716,0.391,0.271
Chile,Latin America and Caribbean,6.172,10.071,0.882,70.000,0.742,-0.044,0.830,2.430,1.200,0.946,0.678,0.438,0.159,0.070
Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,2.430,1.309,0.982,0.668,0.558,0.080,0.130
Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.200,0.853,-0.069,0.733,2.430,1.230,1.103,0.527,0.573,0.143,0.132
Romania,Central and Eastern Europe,6.140,10.284,0.832,67.355,0.845,-0.219,0.938,2.430,1.275,0.832,0.595,0.564,0.045,0.001
Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.900,0.867,-0.104,0.736,2.430,1.461,0.857,0.580,0.591,0.120,0.130
Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.600,0.778,0.002,0.835,2.430,1.101,0.924,0.634,0.482,0.189,0.066
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.110,0.688,2.430,0.845,0.675,0.565,0.615,0.116,0.160
Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,2.430,1.178,0.996,0.574,0.590,0.153,0.096
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.100,0.715,-0.162,0.800,2.430,1.285,1.047,0.587,0.405,0.082,0.089
Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,2.430,1.021,0.866,0.615,0.554,0.100,0.063
Hungary,Central and Eastern Europe,5.992,10.358,0.943,68.000,0.755,-0.186,0.876,2.430,1.301,1.083,0.615,0.454,0.067,0.040
Thailand,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,2.430,1.107,0.957,0.596,0.611,0.375,0.028
Nicaragua,Latin America and Caribbean,5.972,8.620,0.864,67.657,0.836,0.020,0.664,2.430,0.693,0.904,0.604,0.553,0.201,0.176
Japan,East Asia,5.940,10.611,0.884,75.100,0.796,-0.258,0.638,2.430,1.389,0.949,0.838,0.504,0.020,0.192
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69.000,0.828,-0.182,0.834,2.430,1.162,0.980,0.646,0.544,0.069,0.067
Portugal,Western Europe,5.929,10.421,0.879,72.600,0.892,-0.244,0.887,2.430,1.323,0.939,0.760,0.621,0.029,0.033
Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.300,0.857,0.081,0.809,2.430,0.703,0.787,0.593,0.578,0.241,0.083
Croatia,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,2.430,1.251,1.039,0.703,0.453,0.111,0.000
Philippines,Southeast Asia,5.880,9.076,0.830,62.000,0.917,-0.097,0.742,2.430,0.853,0.828,0.426,0.651,0.125,0.126
South Korea,East Asia,5.845,10.651,0.799,73.900,0.672,-0.083,0.727,2.430,1.403,0.758,0.801,0.353,0.134,0.135
Peru,Latin America and Caribbean,5.840,9.458,0.832,68.250,0.822,-0.154,0.891,2.430,0.986,0.833,0.623,0.536,0.087,0.031
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.590,0.870,68.098,0.706,0.113,0.931,2.430,1.032,0.919,0.618,0.395,0.261,0.005
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,2.430,0.985,0.888,0.542,0.536,0.137,0.013
Ecuador,Latin America and Caribbean,5.764,9.313,0.821,68.800,0.842,-0.124,0.843,2.430,0.935,0.806,0.640,0.560,0.107,0.062
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.401,0.935,0.119,0.908,2.430,0.665,0.971,0.501,0.673,0.266,0.020
Greece,Western Europe,5.723,10.279,0.823,72.600,0.582,-0.288,0.823,2.430,1.273,0.811,0.760,0.243,0.000,0.074
Bolivia,Latin America and Caribbean,5.716,9.046,0.810,63.901,0.875,-0.077,0.839,2.430,0.842,0.782,0.486,0.600,0.138,0.064
Mongolia,East Asia,5.677,9.400,0.935,62.500,0.708,0.116,0.856,2.430,0.966,1.065,0.442,0.397,0.263,0.053
Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.900,0.876,0.028,0.882,2.430,0.983,0.970,0.549,0.602,0.206,0.037
Montenegro,Central and Eastern Europe,5.581,9.940,0.858,68.699,0.708,-0.034,0.812,2.430,1.155,0.891,0.637,0.397,0.166,0.081
Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.860,-0.133,0.714,2.430,1.106,0.879,0.555,0.581,0.101,0.144
North Cyprus,Western Europe,5.536,10.576,0.820,73.898,0.795,0.012,0.626,2.430,1.377,0.806,0.801,0.503,0.196,0.200
Belarus,Commonwealth of Independent States,5.534,9.853,0.910,66.253,0.650,-0.180,0.627,2.430,1.124,1.007,0.560,0.326,0.070,0.199
Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,2.430,1.241,0.992,0.511,0.409,0.115,0.060
Hong Kong S.A.R. of China,East Asia,5.477,11.000,0.836,76.820,0.717,0.067,0.403,2.430,1.525,0.841,0.893,0.408,0.232,0.342
Tajikistan,Commonwealth of Independent States,5.466,8.091,0.860,64.281,0.832,-0.056,0.553,2.430,0.508,0.895,0.498,0.548,0.152,0.247
Vietnam,Southeast Asia,5.411,8.973,0.850,68.034,0.940,-0.098,0.796,2.430,0.817,0.873,0.616,0.679,0.124,0.091
Libya,Middle East and North Africa,5.410,9.622,0.827,62.300,0.771,-0.087,0.667,2.430,1.044,0.821,0.435,0.474,0.131,0.174
Malaysia,Southeast Asia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,2.430,1.259,0.797,0.587,0.624,0.270,0.064
Indonesia,Southeast Asia,5.345,9.365,0.811,62.236,0.873,0.542,0.867,2.430,0.954,0.786,0.433,0.598,0.541,0.046
Congo (Brazzaville),Sub-Saharan Africa,5.342,8.117,0.636,58.221,0.695,-0.068,0.745,2.430,0.518,0.392,0.307,0.381,0.144,0.124
China,East Asia,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,2.430,1.061,0.785,0.665,0.636,0.093,0.117
Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,2.430,0.669,0.409,0.052,0.438,0.177,0.092
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,2.430,0.996,0.758,0.585,0.540,0.079,0.198
Nepal,South Asia,5.269,8.120,0.774,64.233,0.782,0.152,0.727,2.430,0.519,0.702,0.496,0.488,0.287,0.135
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67.000,0.788,-0.096,0.932,2.430,1.181,1.055,0.583,0.494,0.125,0.005
Maldives,South Asia,5.198,9.826,0.913,70.600,0.854,0.024,0.825,2.430,1.115,1.015,0.697,0.575,0.204,0.073
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,2.430,1.025,0.841,0.541,0.526,0.043,0.276
Cameroon,Sub-Saharan Africa,5.142,8.189,0.710,53.515,0.731,0.026,0.848,2.430,0.543,0.556,0.159,0.425,0.205,0.058
Senegal,Sub-Saharan Africa,5.132,8.118,0.710,59.802,0.695,-0.046,0.801,2.430,0.518,0.558,0.357,0.381,0.158,0.088
Albania,Central and Eastern Europe,5.117,9.520,0.697,68.999,0.785,-0.030,0.901,2.430,1.008,0.529,0.646,0.491,0.168,0.024
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,2.430,1.068,0.772,0.535,0.450,0.212,0.022
Ghana,Sub-Saharan Africa,5.088,8.580,0.727,57.586,0.807,0.123,0.848,2.430,0.680,0.595,0.287,0.517,0.268,0.058
Niger,Sub-Saharan Africa,5.074,7.098,0.641,53.780,0.806,0.018,0.693,2.430,0.162,0.402,0.167,0.516,0.200,0.157
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,2.430,1.046,1.172,0.439,0.602,0.366,0.033
Gambia,Sub-Saharan Africa,5.051,7.686,0.690,55.160,0.697,0.424,0.746,2.430,0.367,0.511,0.210,0.384,0.465,0.123
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,2.430,0.507,0.058,0.196,0.457,0.166,0.178
Laos,Southeast Asia,5.030,8.947,0.728,58.968,0.910,0.123,0.658,2.430,0.808,0.598,0.330,0.643,0.268,0.179
Bangladesh,South Asia,5.025,8.454,0.693,64.800,0.877,-0.041,0.682,2.430,0.635,0.520,0.514,0.603,0.161,0.164
Guinea,Sub-Saharan Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,2.430,0.420,0.399,0.206,0.384,0.250,0.111
South Africa,Sub-Saharan Africa,4.956,9.403,0.860,56.904,0.749,-0.067,0.860,2.430,0.967,0.895,0.265,0.447,0.144,0.051
Turkey,Middle East and North Africa,4.948,10.240,0.822,67.199,0.576,-0.139,0.776,2.430,1.260,0.809,0.590,0.236,0.097,0.104
Pakistan,South Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,2.430,0.637,0.423,0.322,0.418,0.252,0.097
Morocco,Middle East and North Africa,4.918,8.903,0.560,66.208,0.774,-0.236,0.801,2.430,0.792,0.219,0.558,0.477,0.034,0.088
Venezuela,Latin America and Caribbean,4.892,9.073,0.861,66.700,0.615,-0.169,0.827,2.430,0.852,0.897,0.574,0.284,0.078,0.072
Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.300,0.783,-0.238,0.655,2.430,1.030,0.470,0.498,0.488,0.032,0.181
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.480,-0.067,0.752,2.430,0.946,0.765,0.552,0.119,0.144,0.120
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,2.430,0.979,0.958,0.517,0.417,0.181,0.010
Iraq,Middle East and North Africa,4.854,9.240,0.746,60.583,0.630,-0.053,0.875,2.430,0.910,0.638,0.381,0.302,0.153,0.041
Gabon,Sub-Saharan Africa,4.852,9.603,0.776,59.962,0.731,-0.200,0.840,2.430,1.037,0.707,0.362,0.424,0.058,0.064
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,2.430,0.364,0.472,0.179,0.381,0.182,0.122
Cambodia,Southeast Asia,4.830,8.360,0.765,62.000,0.959,0.034,0.843,2.430,0.603,0.680,0.426,0.702,0.210,0.061
Mozambique,Sub-Saharan Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,2.430,0.183,0.634,0.196,0.608,0.228,0.163
Nigeria,Sub-Saharan Africa,4.759,8.533,0.740,50.102,0.737,0.037,0.878,2.430,0.663,0.625,0.051,0.433,0.212,0.039
Mali,Sub-Saharan Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,2.430,0.387,0.590,0.110,0.384,0.164,0.072
Iran,Middle East and North Africa,4.721,9.584,0.710,66.300,0.608,0.218,0.714,2.430,1.030,0.557,0.561,0.275,0.330,0.144
Uganda,Sub-Saharan Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,2.430,0.364,0.718,0.240,0.398,0.267,0.054
Liberia,Sub-Saharan Africa,4.625,7.288,0.720,56.498,0.735,0.050,0.850,2.430,0.228,0.580,0.253,0.430,0.221,0.057
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,2.430,0.603,0.508,0.385,0.483,0.375,0.073
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.870,2.430,0.919,0.515,0.590,0.334,0.057,0.044
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,2.430,1.045,0.868,0.595,0.175,0.140,0.026
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,2.430,0.882,0.801,0.262,0.411,0.091,0.059
Palestinian Territories,Middle East and North Africa,4.517,8.485,0.826,62.250,0.653,-0.163,0.821,2.430,0.646,0.819,0.434,0.330,0.082,0.075
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.660,2.430,0.666,0.713,0.341,0.601,0.520,0.178
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.000,0.755,-0.167,0.705,2.430,0.890,0.685,0.583,0.455,0.079,0.150
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,2.430,0.255,0.353,0.000,0.240,0.215,0.084
Sri Lanka,South Asia,4.325,9.470,0.827,67.299,0.841,0.079,0.863,2.430,0.990,0.820,0.593,0.559,0.239,0.049
Swaziland,Sub-Saharan Africa,4.308,9.065,0.770,50.833,0.647,-0.185,0.708,2.430,0.849,0.693,0.074,0.323,0.067,0.147
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,2.430,0.488,0.367,0.279,0.202,0.241,0.101
Egypt,Middle East and North Africa,4.283,9.367,0.750,61.998,0.749,-0.182,0.795,2.430,0.954,0.647,0.426,0.446,0.069,0.092
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.000,0.752,0.082,0.761,2.430,0.370,0.679,0.331,0.451,0.241,0.114
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,2.430,0.666,0.749,0.273,0.218,0.119,0.133
Madagascar,Sub-Saharan Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,2.430,0.266,0.503,0.341,0.207,0.185,0.087
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,2.430,0.254,0.239,0.203,0.289,0.209,0.107
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,2.430,0.528,0.552,0.231,0.487,0.227,0.074
Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.630,51.651,0.717,0.084,0.866,2.430,0.279,0.377,0.100,0.408,0.243,0.047
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,2.430,0.741,0.316,0.383,0.622,0.246,0.106
Burundi,Sub-Saharan Africa,3.775,6.635,0.490,53.400,0.626,-0.024,0.607,2.430,0.000,0.062,0.155,0.298,0.172,0.212
Yemen,Middle East and North Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.800,2.430,0.329,0.831,0.272,0.268,0.092,0.089
Tanzania,Sub-Saharan Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,2.430,0.433,0.540,0.300,0.549,0.307,0.231
Haiti,Latin America and Caribbean,3.615,7.477,0.540,55.700,0.593,0.422,0.721,2.430,0.294,0.173,0.227,0.257,0.463,0.139
Malawi,Sub-Saharan Africa,3.600,6.958,0.537,57.948,0.780,0.038,0.729,2.430,0.113,0.168,0.298,0.484,0.213,0.134
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.700,0.715,-0.131,0.915,2.430,0.451,0.731,0.007,0.405,0.103,0.015
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,2.430,1.099,0.724,0.340,0.539,0.027,0.088
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.400,0.897,0.061,0.167,2.430,0.364,0.202,0.407,0.627,0.227,0.493
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.750,56.201,0.677,-0.047,0.821,2.430,0.457,0.649,0.243,0.359,0.157,0.075
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,2.430,0.370,0.000,0.126,0.000,0.122,0.010
